starter_1,starter_2,starter_3,starter_1_type,starter_2_type,starter_3_type,avg_personalization_score,relationship_type,pair_id,profile_a_id,profile_b_id,compatibility_score
"Hi Steve, I'm 15 years into my career in Healthcare and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Hi Steve, I see we both have experience with Google Cloud. I'm curious how you've applied it at Netflix. Would you be willing to share your approach?","Steve, I see you're at Netflix - that's exciting! I'm working on something in the Healthcare space and thought you might find it interesting. Open to connecting?",question,question,collaboration,78.33333333333333,mentorship,4d79b6ce66a29fc67c6ca995648ebf92_bf4c6d9a63ffdf7dc8b49b1169b71840,4d79b6ce66a29fc67c6ca995648ebf92,bf4c6d9a63ffdf7dc8b49b1169b71840,60.4
"Hi Brenda, I'm 8 years into my career in Entertainment and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Hi Brenda, I noticed you have 14 years of experience in Entertainment. I'm currently Strategic role, and would love to learn from your experience. Would you be open to a quick chat?","Hello Brenda, we seem to have similar backgrounds in Angular. I've been following developments in Angular and would enjoy exchanging ideas with someone in your position.",question,question,introduction,76.66666666666667,mentorship,f9b4898fecd9e11348be8788c9cbaebc_6e9ca2d364a537839e8b6aeda54817e7,f9b4898fecd9e11348be8788c9cbaebc,6e9ca2d364a537839e8b6aeda54817e7,60.17
"Hi Gregory, I'm 13 years into my career in Entertainment and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Hey Gregory, your background in Sketch and Strategy is impressive. I'm working on projects in Entertainment and could use advice from someone with your expertise. Mind if I pick your brain?","Hi Gregory, your experience with Google Cloud caught my eye. I think there might be valuable insights we could share given our complementary backgrounds.",question,question,question,76.66666666666667,mentorship,25da2fd8ee5a41be95c6d84c45cb7f11_9d301c821f5296941787b49e15f5e899,25da2fd8ee5a41be95c6d84c45cb7f11,9d301c821f5296941787b49e15f5e899,60.66
"Hello April! I'm looking for guidance as I Advisory roles, and your background makes you the perfect person to learn from. Would you consider being a mentor?",Hello April! I saw that you work at Airbnb as a Head of Product. I'm interested in Energy and would appreciate any insights you could share. Do you have 15 minutes for a coffee chat?,Hey April! Fellow Energy professional here. I noticed we both care about JavaScript. I'd love to connect and potentially collaborate.,mentorship_request,question,collaboration,80.0,mentorship,75c048d625c90e9856bb9b6a8c6be363_9b2b25b09a88b1ecff9f4e58386fa588,75c048d625c90e9856bb9b6a8c6be363,9b2b25b09a88b1ecff9f4e58386fa588,60.67
Hello Donald! I saw you need help with career guidance. I've worked on hiring referrals for 18 years and would be happy to share insights. Let's connect?,"Donald, I see you're at Microsoft - that's exciting! I'm working on something in the Manufacturing space and thought you might find it interesting. Open to connecting?","Hey Donald, your background in Swift and Business Development is impressive. I'm working on projects in Manufacturing and could use advice from someone with your expertise. Mind if I pick your brain?",question,collaboration,question,80.0,value_exchange,8d682039acf71319987682ca8ba04635_3f8a8f969469f707cfa4ba40b3ab8d13,8d682039acf71319987682ca8ba04635,3f8a8f969469f707cfa4ba40b3ab8d13,60.47
"Hi Christopher, I'm 19 years into my career in Entertainment and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Hi Christopher, I noticed you have 12 years of experience in Entertainment. I'm currently Exit strategy, and would love to learn from your experience. Would you be open to a quick chat?","Hi Christopher, your experience with Flask caught my eye. I think there might be valuable insights we could share given our complementary backgrounds.",question,question,question,71.66666666666667,mentorship,259a1ec5c4b415caa5e4d6eedb541c15_fbd2e432230f81b48d2a6b488a6a0788,259a1ec5c4b415caa5e4d6eedb541c15,fbd2e432230f81b48d2a6b488a6a0788,60.5
"Hi Amanda, I'm 20 years into my career in Manufacturing and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Hey Amanda, your background in Rust and NLP is impressive. I'm working on projects in Manufacturing and could use advice from someone with your expertise. Mind if I pick your brain?",Hey Amanda! Fellow Manufacturing professional here. I noticed we both care about Google Cloud. I'd love to connect and potentially collaborate.,question,question,collaboration,80.0,mentorship,765c013965928612e4923ba86aa5d6ad_903ad57461f859ec23b5c19557771308,765c013965928612e4923ba86aa5d6ad,903ad57461f859ec23b5c19557771308,60.67
"Hi Deborah, I noticed you're hiring for Senior Product Manager. I know several talented Operations professionals who might be a fit. Want me to send them your way?",Hey Deborah! Fellow Education professional here. I noticed we both care about TypeScript. I'd love to connect and potentially collaborate.,Hello Deborah! I saw that you work at GrowthTech as a Senior Product Manager. I'm interested in Education and would appreciate any insights you could share. Do you have 15 minutes for a coffee chat?,value_proposition,collaboration,question,90.0,value_exchange,7680bf2850161b834b837c415a003dba_7ea49179815f2aafade432ffda7661e2,7680bf2850161b834b837c415a003dba,7ea49179815f2aafade432ffda7661e2,60.92
"Diane, your career trajectory from early career to COO is exactly the path I'm aiming for. Any chance you'd be willing to mentor someone earlier in their journey?","Hey Diane, your background in Java and Node.js is impressive. I'm working on projects in Telecommunications and could use advice from someone with your expertise. Mind if I pick your brain?","Hi Diane! I came across your profile and was impressed by your work in Telecommunications. I'm a Senior Product Manager working on Scale impact, and thought we might have some interesting synergies. Would love to connect!",mentorship_request,question,collaboration,76.66666666666667,mentorship,efb0c525aac5e1d58d6690ae705dc8fe_aaef75226870ba4cd80cab758a518ace,efb0c525aac5e1d58d6690ae705dc8fe,aaef75226870ba4cd80cab758a518ace,60.9
"Maria, your career trajectory from early career to Senior Designer is exactly the path I'm aiming for. Any chance you'd be willing to mentor someone earlier in their journey?",Hello Maria! I saw that you work at ScaleUp as a Senior Designer. I'm interested in Healthcare and would appreciate any insights you could share. Do you have 15 minutes for a coffee chat?,"Hello Maria, we seem to have similar backgrounds in JavaScript. I've been following developments in JavaScript and would enjoy exchanging ideas with someone in your position.",mentorship_request,question,introduction,71.66666666666667,mentorship,0a439621d70daa15c63562afd0b7ff0c_041e5f94abdb67a0899e8372c6d4b5b7,0a439621d70daa15c63562afd0b7ff0c,041e5f94abdb67a0899e8372c6d4b5b7,60.07
"Hi Michael, I'm 14 years into my career in Healthcare and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Hi Michael, I see we both have experience with Scikit-learn. I'm curious how you've applied it at ScaleUp. Would you be willing to share your approach?","Hi Michael! I came across your profile and was impressed by your work in Healthcare. I'm a Lead Data Scientist working on Executive position, and thought we might have some interesting synergies. Would love to connect!",question,question,collaboration,75.0,mentorship,31b16a7cd0b6467724a0211187015392_82293d1431d0d9ad6476576a52e7bfc4,31b16a7cd0b6467724a0211187015392,82293d1431d0d9ad6476576a52e7bfc4,60.66
"Hey Deborah, your work in Technology is impressive. I could introduce you to some people in Technology who might be valuable connections. Interested?","Hello Deborah, we seem to have similar backgrounds in Scikit-learn. I've been following developments in Scikit-learn and would enjoy exchanging ideas with someone in your position.",Hello Deborah! I saw that you work at Tesla as a CTO. I'm interested in Technology and would appreciate any insights you could share. Do you have 15 minutes for a coffee chat?,value_proposition,introduction,question,90.0,value_exchange,5c5f189007b93060557fe11bdfe2efe7_de834019776202c7afed08486ae10245,5c5f189007b93060557fe11bdfe2efe7,de834019776202c7afed08486ae10245,60.5
"Hello Dean! I'm looking for guidance as I Executive position, and your background makes you the perfect person to learn from. Would you consider being a mentor?","Dean, I'm trying to break into Retail and noticed you've been successful there. What would you say was the most important factor in your career growth?","Hi Dean, your experience with TypeScript caught my eye. I think there might be valuable insights we could share given our complementary backgrounds.",mentorship_request,introduction,question,68.33333333333333,mentorship,3a0b070e71ef20decd88cea0ceea978d_e344751eb0fecbe41c6417b95e05b0a5,3a0b070e71ef20decd88cea0ceea978d,e344751eb0fecbe41c6417b95e05b0a5,60.0
"Hi Kevin, I'm 16 years into my career in Consulting and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Hi Kevin, I see we both have experience with Docker. I'm curious how you've applied it at ScaleUp. Would you be willing to share your approach?",Hey Kevin! Fellow Consulting professional here. I noticed we both care about Docker. I'd love to connect and potentially collaborate.,question,question,collaboration,75.0,mentorship,1108d750530393ad1fdfcd9692b55458_f71460952a6ea504cf015394140e513f,1108d750530393ad1fdfcd9692b55458,f71460952a6ea504cf015394140e513f,60.67
"Clarence, I see you're looking to hiring. I've been through that process and learned a lot. Happy to share what worked for me if you're interested.","Hi Clarence! I came across your profile and was impressed by your work in Telecommunications. I'm a COO working on Advisory roles, and thought we might have some interesting synergies. Would love to connect!",Hello Clarence! I saw that you work at ScaleUp as a Head of Product. I'm interested in Telecommunications and would appreciate any insights you could share. Do you have 15 minutes for a coffee chat?,introduction,collaboration,question,75.0,value_exchange,d6b1383346f719f4c8fd12afbec7ccc6_61f372685d8779def7da36238508aa5a,d6b1383346f719f4c8fd12afbec7ccc6,61f372685d8779def7da36238508aa5a,60.06
"Hi Devon, I noticed you're hiring for Director. I know several talented Business Development professionals who might be a fit. Want me to send them your way?",Hey Devon! Fellow Telecommunications professional here. I noticed we both care about Scikit-learn. I'd love to connect and potentially collaborate.,"Hey Devon, your background in Operations and Kotlin is impressive. I'm working on projects in Telecommunications and could use advice from someone with your expertise. Mind if I pick your brain?",value_proposition,collaboration,question,76.66666666666667,value_exchange,caeb62db61467c94860a89a46f7ec97c_57b947bb969167f492874efa541ff878,caeb62db61467c94860a89a46f7ec97c,57b947bb969167f492874efa541ff878,60.15
"Hey Diana, your work in Manufacturing is impressive. I could introduce you to some people in Manufacturing who might be valuable connections. Interested?","Hello Diana, we seem to have similar backgrounds in TypeScript. I've been following developments in TypeScript and would enjoy exchanging ideas with someone in your position.","Diana, I'm trying to break into Manufacturing and noticed you've been successful there. What would you say was the most important factor in your career growth?",value_proposition,introduction,introduction,71.66666666666667,value_exchange,99e407caa171c7761247bd708c7968cd_430d1046c94ec6756e691ff71f44f150,99e407caa171c7761247bd708c7968cd,430d1046c94ec6756e691ff71f44f150,60.35
"Hi Jennifer, I'm 14 years into my career in Healthcare and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Jennifer, I'm trying to break into Healthcare and noticed you've been successful there. What would you say was the most important factor in your career growth?","Hi Jennifer, your experience with TypeScript caught my eye. I think there might be valuable insights we could share given our complementary backgrounds.",question,introduction,question,71.66666666666667,mentorship,c7b9903af8b3a91b6617c82ed00000d6_b182711dc8684722506c1984c795d62c,c7b9903af8b3a91b6617c82ed00000d6,b182711dc8684722506c1984c795d62c,60.67
"Hi Dawn, I noticed you're hiring for Head of Product. I know several talented TensorFlow professionals who might be a fit. Want me to send them your way?",Hey Dawn! Fellow Finance professional here. I noticed we both care about Data Science. I'd love to connect and potentially collaborate.,"Dawn, I'm trying to break into Finance and noticed you've been successful there. What would you say was the most important factor in your career growth?",value_proposition,collaboration,introduction,86.66666666666667,value_exchange,58c065992b1d6aad1d40068176653df7_977e4e6adb4803370a3d2d58e5356dc2,58c065992b1d6aad1d40068176653df7,977e4e6adb4803370a3d2d58e5356dc2,60.83
"David, your career trajectory from early career to CEO is exactly the path I'm aiming for. Any chance you'd be willing to mentor someone earlier in their journey?","Hi David, I see we both have experience with Photoshop. I'm curious how you've applied it at Microsoft. Would you be willing to share your approach?","David, I see you're at Microsoft - that's exciting! I'm working on something in the Media space and thought you might find it interesting. Open to connecting?",mentorship_request,question,collaboration,75.0,mentorship,24e71c1bf49790198a88d4a992a4e5b4_211206e6b43108ec82fd5b953ed7d324,24e71c1bf49790198a88d4a992a4e5b4,211206e6b43108ec82fd5b953ed7d324,60.92
"Hello Margaret! I'm looking for guidance as I Strategic role, and your background makes you the perfect person to learn from. Would you consider being a mentor?","Hi Margaret, I noticed you have 17 years of experience in Telecommunications. I'm currently Strategic role, and would love to learn from your experience. Would you be open to a quick chat?","Hi Margaret, your experience with Java caught my eye. I think there might be valuable insights we could share given our complementary backgrounds.",mentorship_request,question,question,68.33333333333333,mentorship,e24c91db88195ba22ad3b981fa1d41ff_e17f340b96527e37bb21e9c5bc5cc186,e24c91db88195ba22ad3b981fa1d41ff,e17f340b96527e37bb21e9c5bc5cc186,60.5
"Michael, your career trajectory from early career to Senior Engineer is exactly the path I'm aiming for. Any chance you'd be willing to mentor someone earlier in their journey?","Michael, I'm trying to break into Media and noticed you've been successful there. What would you say was the most important factor in your career growth?","Hello Michael, we seem to have similar backgrounds in Docker. I've been following developments in Docker and would enjoy exchanging ideas with someone in your position.",mentorship_request,introduction,introduction,68.33333333333333,mentorship,2dd03a315bbb72ae88a240ff178e4e0d_a2aa5818f608effe0679e0868150d314,2dd03a315bbb72ae88a240ff178e4e0d,a2aa5818f608effe0679e0868150d314,60.21
"Hi Dr., I'm 25 years into my career in Real Estate and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Dr., I'm trying to break into Real Estate and noticed you've been successful there. What would you say was the most important factor in your career growth?","Hi Dr., your experience with Data Science caught my eye. I think there might be valuable insights we could share given our complementary backgrounds.",question,introduction,question,71.66666666666667,mentorship,d8013587f82693cd6c2b89c9b58bff31_ca4d74769d8c9bd202bdac4b4150e0c2,d8013587f82693cd6c2b89c9b58bff31,ca4d74769d8c9bd202bdac4b4150e0c2,60.67
"Hello Patty! I'm looking for guidance as I Executive position, and your background makes you the perfect person to learn from. Would you consider being a mentor?","Patty, I'm trying to break into Entertainment and noticed you've been successful there. What would you say was the most important factor in your career growth?","Hi Patty! I came across your profile and was impressed by your work in Entertainment. I'm a Freelancer working on Executive position, and thought we might have some interesting synergies. Would love to connect!",mentorship_request,introduction,collaboration,71.66666666666667,mentorship,a3ed6e2c69f0985d5157acb9540d61f0_0b87dea34107fb550c82bdae2d81f095,a3ed6e2c69f0985d5157acb9540d61f0,0b87dea34107fb550c82bdae2d81f095,60.06
Hello Elizabeth! I saw you need help with mentorship. I've worked on technical mentorship for 15 years and would be happy to share insights. Let's connect?,"Hi Elizabeth, your experience with AWS caught my eye. I think there might be valuable insights we could share given our complementary backgrounds.","Hey Elizabeth, your background in TensorFlow and Go is impressive. I'm working on projects in Manufacturing and could use advice from someone with your expertise. Mind if I pick your brain?",question,question,question,73.33333333333333,value_exchange,b346d750302c9e76d7c6a250f91cf797_65f9bfc2dc318ffa4f65a22cb94f4b09,b346d750302c9e76d7c6a250f91cf797,65f9bfc2dc318ffa4f65a22cb94f4b09,60.21
"Hello Christopher! I'm looking for guidance as I Exit strategy, and your background makes you the perfect person to learn from. Would you consider being a mentor?","Christopher, I'm trying to break into Manufacturing and noticed you've been successful there. What would you say was the most important factor in your career growth?",Hey Christopher! Fellow Manufacturing professional here. I noticed we both care about React. I'd love to connect and potentially collaborate.,mentorship_request,introduction,collaboration,71.66666666666667,mentorship,080c775eaec65fdab14c30df4c37885e_862fe20ee174517878bfcb910bbfd154,080c775eaec65fdab14c30df4c37885e,862fe20ee174517878bfcb910bbfd154,61.56
"Hi Peter, I'm 21 years into my career in Real Estate and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Hi Peter, I noticed you have 26 years of experience in Real Estate. I'm currently Advisory roles, and would love to learn from your experience. Would you be open to a quick chat?","Hi Peter, your experience with TypeScript caught my eye. I think there might be valuable insights we could share given our complementary backgrounds.",question,question,question,76.66666666666667,mentorship,4426a3da107e1944552eba2365e2ab6b_0d8d490d4ddda3739c4570e5ff9f1194,4426a3da107e1944552eba2365e2ab6b,0d8d490d4ddda3739c4570e5ff9f1194,62.57
"Hi Christopher, I noticed you're hiring for Freelancer. I know several talented C# professionals who might be a fit. Want me to send them your way?","Hi Christopher! I came across your profile and was impressed by your work in Education. I'm a Chief Data Officer working on Advisory roles, and thought we might have some interesting synergies. Would love to connect!","Hi Christopher, I see we both have experience with Docker. I'm curious how you've applied it at NextGen. Would you be willing to share your approach?",value_proposition,collaboration,question,76.66666666666667,value_exchange,65f21848394dcbfccd455afb126c4e00_d2e0df0fd3d40e1ba74bd82a804584ac,65f21848394dcbfccd455afb126c4e00,d2e0df0fd3d40e1ba74bd82a804584ac,61.5
Hello Glenda! I saw you need help with technical expertise. I've worked on hiring referrals for 12 years and would be happy to share insights. Let's connect?,Hey Glenda! Fellow Transportation professional here. I noticed we both care about React. I'd love to connect and potentially collaborate.,"Hi Glenda, I see we both have experience with React. I'm curious how you've applied it at RapidGrow. Would you be willing to share your approach?",question,collaboration,question,71.66666666666667,value_exchange,22d53021a5d0744a5819b80a9d862abd_5dcc0977a9a435951c4db2a7fcc82155,22d53021a5d0744a5819b80a9d862abd,5dcc0977a9a435951c4db2a7fcc82155,62.15
"Hi Jeffrey, I'm working on Exit strategy and think your expertise in C# would be invaluable. Any interest in collaborating?","Hi Jeffrey, your experience with TypeScript caught my eye. I think there might be valuable insights we could share given our complementary backgrounds.","Jeffrey, I see you're looking to funding. I've been through that process and learned a lot. Happy to share what worked for me if you're interested.",collaboration,question,introduction,70.0,peer,8eb4d4f2564f60bd7894995647d3cfd7_65f21848394dcbfccd455afb126c4e00,8eb4d4f2564f60bd7894995647d3cfd7,65f21848394dcbfccd455afb126c4e00,60.48
"Patrick, your career trajectory from early career to Lead Data Scientist is exactly the path I'm aiming for. Any chance you'd be willing to mentor someone earlier in their journey?","Hey Patrick, your background in Computer Vision and Django is impressive. I'm working on projects in Telecommunications and could use advice from someone with your expertise. Mind if I pick your brain?","Hello Patrick, we seem to have similar backgrounds in React. I've been following developments in React and would enjoy exchanging ideas with someone in your position.",mentorship_request,question,introduction,73.33333333333333,mentorship,37990d03cf06d3ad68e904cb71501d72_556514bfe36825139f841da484f82e46,37990d03cf06d3ad68e904cb71501d72,556514bfe36825139f841da484f82e46,60.0
"Hi Lisa, I'm 26 years into my career in Transportation and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?",Hello Lisa! I saw that you work at NextGen as a CEO. I'm interested in Transportation and would appreciate any insights you could share. Do you have 15 minutes for a coffee chat?,Hey Lisa! Fellow Transportation professional here. I noticed we both care about Photoshop. I'd love to connect and potentially collaborate.,question,question,collaboration,78.33333333333333,mentorship,7c94fd63d584f5daaa4d30f894e9b949_81bd8c374493310281753a7e54d67099,7c94fd63d584f5daaa4d30f894e9b949,81bd8c374493310281753a7e54d67099,60.25
"Lee, I see you're looking to job opportunities. I've been through that process and learned a lot. Happy to share what worked for me if you're interested.","Lee, I see you're at GrowthTech - that's exciting! I'm working on something in the Healthcare space and thought you might find it interesting. Open to connecting?","Hi Lee, I noticed you have 14 years of experience in Healthcare. I'm currently Exit strategy, and would love to learn from your experience. Would you be open to a quick chat?",introduction,collaboration,question,75.0,value_exchange,a2fa3d4a35def72d63c773cedc320eae_876a2144a606db15e6cb31c13c3e089f,a2fa3d4a35def72d63c773cedc320eae,876a2144a606db15e6cb31c13c3e089f,61.21
"Christina, your career trajectory from early career to Senior Designer is exactly the path I'm aiming for. Any chance you'd be willing to mentor someone earlier in their journey?","Hi Christina, I noticed you have 11 years of experience in Retail. I'm currently Exit strategy, and would love to learn from your experience. Would you be open to a quick chat?","Hello Christina, we seem to have similar backgrounds in React. I've been following developments in React and would enjoy exchanging ideas with someone in your position.",mentorship_request,question,introduction,83.33333333333333,mentorship,170c9f02ce910ad9854bde1b35a63951_100430efe1a05cd6a05c482d88ca531a,170c9f02ce910ad9854bde1b35a63951,100430efe1a05cd6a05c482d88ca531a,60.5
"Ryan, your career trajectory from early career to CEO is exactly the path I'm aiming for. Any chance you'd be willing to mentor someone earlier in their journey?","Hey Ryan, your background in InVision and Marketing is impressive. I'm working on projects in Media and could use advice from someone with your expertise. Mind if I pick your brain?","Hi Ryan, your experience with Angular caught my eye. I think there might be valuable insights we could share given our complementary backgrounds.",mentorship_request,question,question,73.33333333333333,mentorship,a9c446e50e94876565efeeab77ce1108_486f131ccc6a0fe04d73f17df250c867,a9c446e50e94876565efeeab77ce1108,486f131ccc6a0fe04d73f17df250c867,61.65
"Hi Erik, I noticed you're network connections. I have connections in Consulting that might be helpful. Would you be interested in an intro?","Hi Erik! I came across your profile and was impressed by your work in Consulting. I'm a COO working on Exit strategy, and thought we might have some interesting synergies. Would love to connect!",Hello Erik! I saw that you work at ScaleUp as a Chief Data Officer. I'm interested in Consulting and would appreciate any insights you could share. Do you have 15 minutes for a coffee chat?,value_proposition,collaboration,question,78.33333333333333,value_exchange,de5cdddb58f03243eae90ad9eaf807a8_b0d13d8ec317cf046ac33a513e0fb273,de5cdddb58f03243eae90ad9eaf807a8,b0d13d8ec317cf046ac33a513e0fb273,60.95
"Nathan, your career trajectory from early career to VP Engineering is exactly the path I'm aiming for. Any chance you'd be willing to mentor someone earlier in their journey?",Hello Nathan! I saw that you work at RapidGrow as a VP Engineering. I'm interested in E-commerce and would appreciate any insights you could share. Do you have 15 minutes for a coffee chat?,"Nathan, I see you're at RapidGrow - that's exciting! I'm working on something in the E-commerce space and thought you might find it interesting. Open to connecting?",mentorship_request,question,collaboration,93.33333333333333,mentorship,3e6ebf0be40d488ed3e7a6358e545c65_efbf95d4789181f6b559f11a7521048a,3e6ebf0be40d488ed3e7a6358e545c65,efbf95d4789181f6b559f11a7521048a,60.06
"Elizabeth, your career trajectory from early career to CTO is exactly the path I'm aiming for. Any chance you'd be willing to mentor someone earlier in their journey?","Hi Elizabeth, I noticed you have 23 years of experience in Real Estate. I'm currently Advisory roles, and would love to learn from your experience. Would you be open to a quick chat?","Elizabeth, I see you're at RapidGrow - that's exciting! I'm working on something in the Real Estate space and thought you might find it interesting. Open to connecting?",mentorship_request,question,collaboration,75.0,mentorship,9042227b93e42700289778334c803e5d_9b761d098d4ed177db556dca41843db0,9042227b93e42700289778334c803e5d,9b761d098d4ed177db556dca41843db0,61.5
"Hi Donna, I noticed you're network connections. I have connections in Media that might be helpful. Would you be interested in an intro?","Hi Donna, your experience with TypeScript caught my eye. I think there might be valuable insights we could share given our complementary backgrounds.","Hi Donna, I noticed you have 15 years of experience in Media. I'm currently Advisory roles, and would love to learn from your experience. Would you be open to a quick chat?",value_proposition,question,question,71.66666666666667,value_exchange,59749c6ab5551bbed4967d0e04381ca1_7f621f23838709de83a88d1a667ade1e,59749c6ab5551bbed4967d0e04381ca1,7f621f23838709de83a88d1a667ade1e,61.06
"Hi Bryan, I noticed you're hiring for Head of Product. I know several talented Ruby professionals who might be a fit. Want me to send them your way?","Bryan, I see you're at GrowthTech - that's exciting! I'm working on something in the Retail space and thought you might find it interesting. Open to connecting?","Hi Bryan, I see we both have experience with React. I'm curious how you've applied it at GrowthTech. Would you be willing to share your approach?",value_proposition,collaboration,question,75.0,value_exchange,c1b62e88a6527f7bfc10dd9ee589feaa_842ea0524115ab7d5055514222313833,c1b62e88a6527f7bfc10dd9ee589feaa,842ea0524115ab7d5055514222313833,61.9
"Robert, I see you're looking to mentorship. I've been through that process and learned a lot. Happy to share what worked for me if you're interested.",Hey Robert! Fellow E-commerce professional here. I noticed we both care about Photoshop. I'd love to connect and potentially collaborate.,"Hi Robert, I see we both have experience with Photoshop. I'm curious how you've applied it at Netflix. Would you be willing to share your approach?",mentorship_request,collaboration,question,86.66666666666667,value_exchange,35378940bc73cce27b372b9f1a65ad16_b3c387192d9431508c4fd47be53aef41,35378940bc73cce27b372b9f1a65ad16,b3c387192d9431508c4fd47be53aef41,60.15
"Hi Mary, I'm 30 years into my career in Retail and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?",Hello Mary! I saw that you work at Stripe as a Chief Data Officer. I'm interested in Retail and would appreciate any insights you could share. Do you have 15 minutes for a coffee chat?,"Hi Mary! I came across your profile and was impressed by your work in Retail. I'm a CTO working on Build company, and thought we might have some interesting synergies. Would love to connect!",question,question,collaboration,78.33333333333333,mentorship,f532eb595c2e7a07a6c84e48c4ecfc2f_9b04ad73cfb773527a8abf89a1ed55d0,f532eb595c2e7a07a6c84e48c4ecfc2f,9b04ad73cfb773527a8abf89a1ed55d0,62.36
"Hey Kristin, your work in Technology is impressive. I could introduce you to some people in Technology who might be valuable connections. Interested?","Hello Kristin, we seem to have similar backgrounds in Docker. I've been following developments in Docker and would enjoy exchanging ideas with someone in your position.","Hi Kristin, I see we both have experience with Docker. I'm curious how you've applied it at Netflix. Would you be willing to share your approach?",value_proposition,introduction,question,71.66666666666667,value_exchange,d0e54b42e0149b52ea95360b2018c1b6_42297aedeef60b6568f10ff08db5ab6c,d0e54b42e0149b52ea95360b2018c1b6,42297aedeef60b6568f10ff08db5ab6c,61.12
"Hi Sheryl, I'm 21 years into my career in Consulting and would love to learn from someone with your experience. Would you be open to an occasional mentorship chat?","Sheryl, I'm trying to break into Consulting and noticed you've been successful there. What would you say was the most important factor in your career growth?","Sheryl, I see you're at GrowthTech - that's exciting! I'm working on something in the Consulting space and thought you might find it interesting. Open to connecting?",question,introduction,collaboration,78.33333333333333,mentorship,8a5333ca9eaf6ffb7d78870b948bffc1_81e5ae3bdf7410771836f9bbde122872,8a5333ca9eaf6ffb7d78870b948bffc1,81e5ae3bdf7410771836f9bbde122872,60.06
